Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17344873,Iliade,Homer,"Homer, Homer",,"=""8811360552""","=""9788811360551""",4,3.92,Garzanti Libri,Paperback,479,2004,-800,,2014/05/15,"classici, avventura","classici (#4), avventura (#3)",read,,,,1,0
82405,Jesus of Nazareth: From the Baptism in the Jordan to the Transfiguration,Pope Benedict XVI,"XVI, Pope Benedict",,"=""0385523416""","=""9780385523417""",5,4.43,Doubleday,Hardcover,374,2007,2007,,2014/05/15,"spirituale, religione","spirituale (#4), religione (#8)",read,,,,1,0
13308538,Giù al Sud. Perché i terroni salveranno l'Italia,Pino Aprile,"Aprile, Pino",,"=""8856619938""","=""9788856619935""",0,3.55,Edizioni Piemme,Hardcover,476,2011,2011,,2019/01/05,"to-read, storia","to-read (#16), storia (#4)",to-read,,,,0,0
42422459,L'Italia è finita,Pino Aprile,"Aprile, Pino",,"=""""","=""""",0,3.86,Piemme,Kindle Edition,301,2018,,,2019/01/05,"to-read, storia","to-read (#17), storia (#3)",to-read,,,,0,0
17226809,I migliori racconti di padre Brown,G.K. Chesterton,"Chesterton, G.K.","Gian Dàuli, M.L. Quintavalle, Enrica De Carli, Enzo Pivetti, Riccardo Ferrigato","=""8821575004""","=""9788821575006""",4,2.95,San Paolo,Paperback,240,2012,2013,,2014/06/17,"romanzo, spirituale","romanzo (#3), spirituale (#2)",read,,,,1,0
22521890,L'assassino di mio fratello,Gerardo Ferrara,"Ferrara, Gerardo",,"=""8863963983""","=""9788863963984""",5,4.67,Giovane Holden Edizioni,Kindle Edition,410,2013,,,2014/06/17,romanzo,romanzo (#2),read,,,,1,0
9698545,Un oscuro scrutare,Philip K. Dick,"Dick, Philip K.",Gabriele Frasca,"=""8834709853""","=""9788834709856""",3,4.03,Fanucci,Paperback,373,2004,1977,2014/06/01,2014/05/15,fantascienza,fantascienza (#2),read,,,,1,0
22375933,Il destino del fuco,Susanna Manzin,"Manzin, Susanna",,"=""""","=""""",5,5.00,D'Ettoris,Paperback,,2014,2014,2014/06/01,2014/05/30,romanzo,romanzo (#1),read,,,,1,0
22328173,Obbedire è meglio. Le regole della compagnia dell'agnello,Costanza Miriano,"Miriano, Costanza",,"=""8845425819""","=""9788845425813""",5,4.24,Sonzogno,Paperback,173,2014,2013,2014/05/30,2014/05/30,religione,religione (#5),read,,,,1,0
18884390,Don Camillo e il suo gregge,Giovannino Guareschi,"Guareschi, Giovannino",,"=""885864512X""","=""9788858645123""",5,4.28,Rizzoli,Kindle Edition,470,2013,1953,2014/05/30,2014/05/15,"classici, ironico, religione","classici (#3), ironico (#2), religione (#4)",read,,,,1,0
